qid,intent,product,question,answer
105,malfunction,T1 mini,商米T1mini收银机连接USB扫码枪不显示屏幕键盘,"台式收银机内置谷歌输入法在连接外部USB键盘输入设备时，默认不显示屏幕软键盘。如果您需要显示屏幕软键盘，可按以下步骤操作开启屏幕软键盘显示：
1)在可输入内容的画面点解右下角键盘图标：
2) 在菜单中找到“【A】配置实体键盘”->开启“显示虚拟键盘”，返回即可显示屏幕键盘。"
106,malfunction,T1 mini,商米T1mini无法识别SD卡不能读SD卡,"1.检查在其他设备是否能识别SD卡，确认SD卡是否有问题。
2.如果是新的SD卡或者确认SD卡无需要保留的内容，请将SD卡通过读卡器连接个人电脑，将SD卡格式化，文件系统格式选择“FAT32（默认）”，完成格式化后再将SD卡插到机具上使用。
3.如果在业务App中看不到SD卡的文件，请检查在浏览文件的菜单中是否有勾选“显示SD卡”选项。"
107,malfunction,T1 mini,商米T1miniAPP使用时没有声音提示,"1. 测试其他APP是否有声音提示，如果只是某个APP没有提示音，其他APP可正常使用，请尝试卸载该APP重新安装。
2.找到主屏幕背面左下角的塑料盖板打开，连续按下多次音量加按键调高音量。
3. 如果音量仍然没有提高尝试重启机具观察是否恢复正常。
4. 不要屏蔽App通知：点击设置->提示音和通知->通知->应用通知->相应APP->屏蔽，看看是不是开启了屏蔽功能，如果开启，关闭即可。"
108,malfunction,T1 mini,商米T1mini外接音箱调高音量重启设备后为什么音量会变小,安卓系统的设备，在外接耳机或音箱的情况下，调至最大音量会提示是否将音量调到安全级别以上的提示，如果音量调到安全线以上，重启设备以后，音量会自动返回到安全线以下（也就是前面说的恢复默认音量）。
109,malfunction,T1 mini,商米T1mini外接音箱输出的音量比原来的声音小,T1的音频口是CTIA标准4段式的，如果外接插上3段式的音响接口输出音量会变小的，需要买根转换线转成3段的才可以。
110,malfunction,T1 mini,商米T1mini双屏14寸从应用市场下载双屏应用一直显示安装中怎么处理,"升级T1新的系统版本可解决此问题。参考2.4 如何将机器升级到最新的系统版本？
临时解决方法：在设置->应用->应用市场->储存空间->清除缓存。"
111,malfunction,T1 mini,商米T1mini屏幕触控异常,"尝试以下方法：
1.使用硬件管家->触屏检测，多指触摸屏幕测试屏幕触控是否正常；如果有异常，转下一步继续；
2.重新启动，再使用硬件管家做触屏测试；排除应用影响，如果仍有问题，转下一步继续；
3.检查系统是否已更新到1.15.13或以上版本。
4.确认是否使用原装电源适配器；（T1采用24V/2.5A电源适配器，有条件可更换一个测试是否电源适配器故障导致）
5.请将收银机移至另一个店铺、办公室测试开机触屏是否可以正常使用，如果在其他地方电容屏可以正常触控，请按照以下方式排查电路问题。
a.检查插座是否有接线；(电工检查电路是否有接地线，用测电笔接触设备的金属（microusb旁边的金属）测试是否会亮 亮就代表没接地。)
b.电容触摸屏可能受到附近的大功率设备（变频器、电机、灯箱、镇流器）的电磁干扰，请将机器关机移至新区域再开机测试问题是否仍然存在；如果确认存在电磁干扰，可以逐个电器开关排查哪个是干扰源。"
112,malfunction,T1 mini,商米T1mini双屏副屏黑屏不显示主屏正常显示,将机器底座上的圆形电源插口拔出，断电5分钟后再开机，多测几次查看看副屏是否恢复显示。
113,malfunction,T1 mini,商米T1mini双屏桌面不显示副屏设置图标,"1. 检查主屏和副屏是否已升级到最新的系统版本，系统版本过低，可能部分功能不支持。
主屏系统版本检查步骤：桌面->硬件管家->本机->ROM版本；
副屏系统版本检查步骤：桌面->副屏设置->版本号；
最新版本：主屏v1.15.14，14寸副屏v1.9.11，7寸副屏v1.11.3；
2. 点击 设置->关于设备->硬件信息，查看副屏状态是【√】还是【X】，如果是【X】，点击右上角的刷下按键，重新开关机，查看副屏设置是否恢复显示；"
114,malfunction,T1 mini,商米T1mini双屏识别不到副屏无法获取副屏信息,"1.在主屏的桌面打开“副屏设置”，查看是否可显示副屏的信息。
2.检查主屏或副屏是否连接MicroUSB调试接口，拔出调试数据线再试。
3.断电重启。将机器底座上的圆形电源插口拔出，断电5分钟后再开机，多测几次测试。
4.检查副屏硬件连接状态是否正常：点击 设置->关于设备->硬件信息，查看副屏状态是【√】还是【X】，如果是【X】，点击右上角的刷下按键，重启检测，再次打开硬件信息，查看是否能检测到副屏。如果问题仍然存在，联系售后维修处理。
5.如果偶尔出现双屏通讯异常，请检查主屏和副屏是否已升级到最新的系统版本。
  主屏系统版本检查步骤：桌面->硬件管家->本机->ROM版本；
  副屏系统版本检查步骤：桌面->副屏设置->版本号；
 最新版本：主屏v1.15.14，14寸副屏v1.9.11，7寸副屏v1.11.3；"
115,malfunction,T1 mini,商米T1mini双屏发送文件到副屏失败主屏发送信息给副屏不显示副屏显示卡住不刷新,"1.在主屏的桌面打开“副屏设置”，查看是否可显示副屏的信息，确保主屏和副屏之间可以正常通讯，如果无法获取副屏信息，先参考“8.4 T1双屏：识别不到副屏，无法获取副屏信息”解决双屏通讯问题；
2.检查主屏和副屏是否已升级到最新的系统版本，系统版本过低，可能部分功能不支持。
  主屏系统版本检查步骤：桌面->硬件管家->本机->ROM版本；
  副屏系统版本检查步骤：桌面->副屏设置->版本号；
最新版本：主屏v1.15.14，14寸副屏v1.9.11，7寸副屏v1.11.3；
 系统升级方法可参考2.4 如何将机器升级到最新的系统版本？
3.通过“副屏设置”查看副屏的存储可用容量剩余多少，如果低于10MB，可能会影响发送到副屏的文件存储不成功；需要使用业务APP定期清理缓存，或者通过“客显演示demo”清理全部缓存。
 “客显演示demo”清理全部缓存的方法：
从应用市场中下载“客显演示demo”，打开APP选择“清除缓存"" ，返回桌面查看“副屏设置”可用空间是否有增加。
如果副屏的存储可用空间充足，且已是更新版本，仍然有文件不能发过去副屏，例如100张，只能发5张，则可以判断是文件传输阻塞，因文件传送至副屏需要时间，显示文件时可能会有延时。故尽量在空闲时先将图片和视频文件缓存至副屏，当需要在副屏显示时，根据文件ID调用。"
116,malfunction,T1 mini,商米T1mini双屏系统更新检测不到新版本显示断开连接,"原因1:双屏通讯断开连接，需要解决双屏连接恢复正常后才能升级系统版本。先参考“8.4 T1双屏：识别不到副屏，无法获取副屏信息”解决双屏通讯问题；
原因2:v1.0.9系统OTA组件版本过低，无法通过新生产的SN号段判断是否双屏机器，需要灰度推送新的OTA组件更新后才能升级，请联系技术支持安排OTA推送新版本的""系统更新""APP，然后在桌面打开“系统更新”app检查是否能获取版本更新。"
117,malfunction,T1 mini,商米T1mini打印机门盖打不开如何处理,"a. 目视纸仓门出纸口，查看切刀是否明显处于推出状态；
b. 打开打印出纸口上方切刀盖，向上旋转白色切刀旋钮，使切刀退回最顶部；
c. 确认刀退回以后，因为有纸卡住了门盖打不开，需要用手拉翻盖出纸口位置，将门盖强行打开；
d. 如果卡的纸处理干净了，再检查压纸棍是否已经变形损坏，如果没有变形才测试是否已修复。"
118,malfunction,T1 mini,商米T1mini打印机门盖关不上如何处理,"a. 打开门盖，检查压纸棍金属铁片是否变形，如已变形，需要送售后维修处理。
b. 目视纸仓门出纸口，查看切刀是否明显处于推出状态；打开打印出纸口上方切刀盖，向上旋转白色切刀旋钮，使切刀退回最顶部，再测试是否门盖可以关上；如果还关不上需要送售后维修处理。"
119,malfunction,T1 mini,商米T1mini打印走纸不正常如何处理,"1.关于用纸方面的须知，必须要用国际标准的大纸芯打印纸，否则有一定概率会出现卡纸及走纸不正常的情况。
2.平时关闭纸仓时双手轻轻按压仓门的顶端完全闭合盖子。如果关闭打印舱门的时候用力太大或者太快，强行按压门盖，可能会导致压纸滚轴支撑钣金变形，导致压制胶辊齿轮无法良好契合打印机，致使打印机滚轴齿轮打滑，出现打印不走纸。这个时候应该把滚轴拆卸下来检验是否出现明显变形，如已变形，需要付费更换配件。"
120,malfunction,T1 mini,商米T1mini打印机切纸只能切一半如何处理,"a.点击硬件管家->切刀->点此切纸一次，测试是否能够切纸；能切纸则需要检查是否业务APP的问题，如果不能切纸则转b继续检查；
b.打开门盖，检查压纸棍金属铁片是否变形；打开打印出纸口上方切刀盖，检查切刀安装是否错位；如发现硬件故障需要送售后维修处理。"
121,malfunction,T1 mini,商米T1mini为什么T1打印机打印出来的内容全是黑块,首先使用硬件管家->打印机->测试使用硬件管家的打印机测试，看看打印是否正常。如果正常应该是APP的打印设置问题，若还是黑块，则点击恢复出厂测试是否恢复正常，问题仍然存在则是打印机硬件问题。
122,malfunction,T1 mini,商米T1mini打印空白出现提示未检测到黑标请检查,"如果你使用的APP不需要黑标打印功能，可以在 设置->打印->内置打印管理->打印模式选项中切换成 普通热敏模式。
重新启动该设备后生效；"
123,malfunction,T1 mini,商米T1mini打印机小票打印的内容没有居中只有一半,请检查在 设置->打印->内置打印管理中，打印纸可以选择58或80，请确认选择的是80mm。
124,malfunction,T1 mini,商米T1mini打印机不工作报打印机未准备好如何处理,"a. 点击硬件管家->打印机，查看“序列号”和“型号”；
（1）有显示信息，转b继续检查；
（2）没信息，而是显示“--”，转c继续检查；
b. 检查打印机状态是否正常：点击 设置->关于设备->硬件信息，查看打印机状态是【√】还是【X】，如果是【X】，点击右上角的刷下按键，重新开关机，在硬件管家测试打印，查看故障是否依旧，多测几次来判断；
c.如果问题仍然存在，请送售后维修处理。"
125,malfunction,T1 mini,商米T1mini打印机不工作报打印机切刀已经修复如何处理,"首先打开打印纸仓，再次关闭纸仓时双手轻轻按压仓门的顶端确认完全闭合盖子。如果仍然提示“打印机切刀已经修复”而无法打印请继续下一步。
a. 点击硬件管家->打印机，查看“序列号”和“型号”；
（1）有显示信息，转b继续检查；
（2）没信息，而是显示“--”，转c继续检查；
b. 打开纸仓门盖，装纸合盖，查看是否正常切纸；
（1）会正常切纸，说明故障偶现，需要多测几次来判断；
（2）切刀有动作，切不断纸，并且自动回刀，屏幕立刻报切刀已修复；判定为压纸棍金属变形或者切刀变形，需更换。
c. 检查打印机状态是否正常：点击 设置->关于设备->硬件信息，查看打印机状态是【√】还是【X】，如果是【X】，点击右上角的刷下按键，然后重启看看是否恢复正常。如果问题仍然存在，请送售后维修处理。"
126,malfunction,T1 mini,商米T1mini打印机不工作报打印纸未准备好如何处理,"打开纸仓门盖，装纸合盖，查看是否正常切纸；
（1）会正常切纸，说明故障偶现，需要多测几次来判断；
（2）切刀无动作，仍然报打印纸未准备好，请送售后维修处理。"
127,introduction,P1,商米P1外观介绍,"电源键
短按：点亮屏幕，锁定屏幕。
长按：关机状态下，长按2-3秒开机；
      使用状态下，长按2-3秒，可选择关机或重启。
      死机状态下，长按11秒，自动重启。
音量键
调节音量大小（可设置为快速扫码键，需要应用支持）。
返回键
点击返回之前屏幕。
1. 主屏幕键:.
点击可快速回到主屏幕。
2. 菜单键:
点击可快速查看后台运行的程序；
选择应用程序并侧滑，即可关闭此应用。
3. 打印机:
用于开机状态下打印单据。
4. 磁卡读卡器:
用于刷银行卡磁条信息
5. IC卡读卡器:
用于插入银行芯片卡
6. NFC读卡器:
用于感应闪付卡
7. 指示灯:
用于提示刷卡业务步骤。
8. MICRO USB接口:
可用于给设备充电和开发者调试使用。
9. 摄像头:
只能用于二维码扫描。充电触点
10. 闪光灯:
辅助拍照时照亮周围环境。
11. PSAM卡槽:
用于插入加密PSAM CPU卡
12. SIM卡插槽:
注意：本插槽使用标准SIM卡，需用Nano-SIM、
Micro-SIM卡请使用转换卡座；插入或取出sim卡时，
请先关机，若开机状态下插拔可能造成机器故障。
· 平移打开SIM卡盖；
· 按图示方向，插入/取出SIM卡；
· 按平移方向盖紧电池盖。
（SIM卡支持联通版3G及联通版/移动版2G网络）
13. 电池:
使用时避免与水、金属物体、其他带电设备接触
14. 背带环:
用于固定手持背带，避免滑落。（此配件需额外购买）"
128,introduction,P1,商米P1充电及电池说明,"建议您在打开并开始使用商米机器前，先为电池充电。本机只支持USB线充电。
· 将5V适配器插入市电插座；
· 将USB线与机器USB接口相接为机器充电；
· 正在充电，屏幕会有相应图标显示 ；
· 若无出现充电图标，请检查USB接口是否插好。"
129,introduction,P1,商米P1电池说明注意事项,"· 设备选配的是3.7V/5200mAh锂电池，请勿自行拆卸。
· 为保护电池的使用寿命，建议随时充电，不要等到电池耗光后再充电。
· 如果在同时运行应用和上网的同时为电池充电，商米机器可能会发热。这是正常现象。
· 为安全起见，电池可能会因避免过热而停止充电。
· 请避免在炎热环境中为电池充电。"
130,introduction,P1,商米P1打印纸安装说明,"本机支持58mm热敏打印纸，规格为57±0.5mm*?40mm
· 请通过开盖提手开启打印纸仓（下图示 1），勿强行打开纸仓，防止打印头齿轮磨损；
· 按照图示方向，将打印纸正确放入纸仓，并拉出部分纸至切刀外（下图示 2）；
· 盖好纸仓盖，打印纸安装完成（下图示 3）。
注意：如果打印内容空白，请检查纸卷方向是否放反。 "
131,introduction,P1,商米P1安装SIM卡说明,"P1支持中国联通3G和中国移动2G网络的SIM卡，使用标准大小的 SIM 卡(未经裁剪普通的卡型)。请在关机状态下，插入相应的SIM卡，再开机。
1.按住电源键2秒，点击关机。
2.使用工具将机具背面的螺丝旋开，掀开背面盖板。
3.将SIM 卡截角处朝上放入SIM卡槽，最终SIM 卡截角外露在卡槽外。注意：外侧的卡槽是SIM卡槽，不要把SIM卡安装到SAM卡座上。
4.关闭插槽盖。"
132,introduction,P1,商米P1开机设置说明,"开启智能商用设备，只需几步
长按电源键2-3秒，屏幕点亮，进入首次开机界面，点击【开始设置】按提示操作即可。本机可选择2种上网模式。
连接WLAN
点击要连接的WLAN，若选择一个加密的网络，则需要输入访问密码方可连接。
通过SIM卡连网
若要通过SIM卡联网，可在连接WLAN页面，点击【我想通过SIM卡连网】。
注册商米账号/用已有账号登录
点击【注册新账号】/【用已有账号登录】可注册或登录商米账号，通过商米账号，您可以使用“用户反馈”在线反馈并获得帮助、定位辅助找回丢失设备等服务。如果暂不需要，可以点击【跳过】，完成激活设备。"
133,function,P1,商米P1如何下载／使用应用,相关应用可在联网模式下，打开应用市场，浏览分类或者搜索应用名称并下载应用即可完成安装。
134,function,P1,商米P1电池维护,电池维护：为保护电池的使用寿命，建议随时充电，不要等到电池耗光后再充电。当设备低电量并想长时间存放不用时，请先充满电，避免电量耗光损坏电池。
135,function,P1,商米P1打印头维护,"1. 打印出现模糊时，可用棉签沾酒精去除陶瓷片上的污垢。
2. 定期用软毛刷清理纸仓内的纸屑，特别是滚轴、切纸刀、传感器上的灰尘。"
136,function,P1,商米P1设备支持哪些运营商的SIM卡,"P1支持联通的3G/2G和移动2G网络，建议使用联通SIM卡。
P1 4G支持中国移动、中国联通、中国电信4G全网通。"
137,function,P1,商米P1如何连接移动网络,"1.确认机具已放入SIM卡(支持联通3G/2G和移动2G）
2.从屏幕顶部下滑，在快捷开关中点选(运营商名称)将“移动数据网络”开关开启。"
138,function,P1,商米P1如何查看流量使用情况,进入设置 > 流量使用情况，可分别查看移动网络 或 WLAN的流量使用情况。
139,function,P1,商米P1如何截屏,同时按下电源键和音量下按键 2秒，截取的图片可以在“图库”>“屏幕截图”中查看。（注：如果设置了音量键自定义功能键将无法使用快捷键截图，可以到设置中关闭该功能）
140,function,P1,商米P1设置快速打开应用的快捷键快速扫码,P1加入了音量键自定义功能，您可以在“设置->音量键自定义”中设置单按上、下音量键快捷开启指定应用的功能，注意：开启此功能会影响音量键调节音量功能不可用。
141,function,P1,商米P1屏幕顶部出现的禁止图标经是什么,"屏幕顶部状态栏的禁止图标是开启了勿扰模式，机器将会静音。您可以按下音量加按键，将声音模式改为""全部""。"
142,function,P1,商米P1屏幕顶部出现的星号图标是什么,"屏幕顶部状态栏的禁止图标是开启了勿扰模式的优先打扰，允许特定联系人来电或短信通知，其他应用通知将会静音。您可以按下音量加按键，将声音模式改为""全部""。"
143,function,P1,商米P1商米设备上的用户反馈有什么用,为了更好更及时的收集客户反馈及解决客户疑问、同时不断吸取建议优化商米设备，故商米在旗下设备上专门设立“用户反馈”功能，凡商米用户，只需注册商米账号，即可随时将设备的使用疑问、体会、建议、心得等填写上传，我们会每日查看用户所提交的内容并做相应回答。
144,function,P1,商米P1商米设备上的耗材商城有什么用,商米设备用户可在设备“耗材商城”内购买商米相应耗材，如打印纸等，后续商米商城内的产品会越来越丰富，敬请期待。
145,function,P1,商米P1应用市场中找不到要下载的APP如何安装第三方APP,"首先，请查看机具是哪个渠道商出货的机具，步骤：点击 应用市场，选择“我的”，在页面下方的“服务商”所属名称。
如果标记名称是“SUNMI”代表是属于商米直接销售或代理商出货的机具，使用者可以从商米应用市场下载公共池内现有的应用。至于应用市场没有的应用，也支持自行安装：通过浏览器在网页搜索下载安装APK；或者在电脑使用豌豆荚或360手机助手下载APK。
如果“服务商”显示渠道商名称，则代表您的机具属于渠道定制机；渠道商为了保证其生态权利（提供独有的解决方案、专利或福利），我们将应用市场的控制权交给他们，他们可以调整该渠道出货机具的应用市场有哪些应用程序。销售人员一般都会讲清其销售设备的业务能力范围，而使用者购买前也建议向销售防确认是否能够满足自己的业务管理需求哦。
如果渠道应用市场缺少您需要使用的应用，您可以向渠道商反馈，争取应用程序的上架。"
146,function,P1,商米P1下载第三方APP更新后点进去提示出于安全考虑设备已设置为禁止安装来源不明的应用但是在设置安全的未知来源选项是灰色的不能打开怎么处理,根据银联规范要求，金融机具P1只允许通过商米应用市场下载安装/更新经过审核的应用，如有需要可以将应用上传到商米应用市场后下载。P1不允许在APP内直接更新，也不允许在第三方应用市场下载安装。
147,function,P1,商米P1系统更新会自动下载吗会不会影响到日常工作,为了不影响商户日常工作，系统更新不会自动下载更新和安装。您可以在设备首页的“系统更新”中升级更新设备系统。
148,function,P1,商米P1关闭系统及应用在3G4G状态下自动更新,"关闭系统自动更新：默认在移动网络状态下不会自动进行系统更新。
关闭自动下载应用：打开应用市场->我的->开启“省流量模式”。"
149,function,P1,商米P1在P1使用高峰期的时候为什么系统一直提示需要重启,"银联规定金融交易相关设备需要24小时内重启自检，目前商米P1设备的设计是第20小时提示自动重启，之后每隔一小时会提示一次，到第24小时自动重启；  
建议您在非繁忙时期定期重启机具。可以点击 设置->定时开关机，根据自己情况设置P1设备自动开关机时间，错开提示时间；如凌晨3点重启，这样的话第一次提醒重启是在23点，错开设备使用高峰期。"
150,function,P1,商米P1如何恢复出厂设置,点击 设置->其他设置->备份和重置->恢复出厂设置。（注意：恢复出厂设置将会清除机器所有数据，请谨慎操作）
151,function,P1,商米P1设置了PIN码锁屏但是忘记锁屏密码怎么处理,忘记密码需要重新刷机，请联系经销商处理。
152,function,P1,商米P1系统安全模式是什么,安全模式是安卓系统的一个特殊模式，它的原理与Windows 的安全模式相似。如果安卓系统出现类似软件，例如应用程序引发的死机、重启或电池很快耗尽，此时可进入安全模式来检查问题是否为应用程序所造成。在安全模式中，系统不会加载非预装应用程序，仅会就自身的系统来进行正常启动。这样用户便能进行系统检测、修复错误，或卸载有问题的应用程序。
153,function,P1,商米P1如何进入安全模式,"在开机显示开机动画时，按住""音量减""键直到进入系统桌面，此时桌面左下方显示「安全模式」即表示成功。"
154,function,P1,商米P1如何退出安全模式,重新启动即可退出。
155,function,P1,商米P1是否支持外接其他设备,P1的MicroUSB接口支持OTG 连接外部的USB设备，例如U盘和小键盘等；同时也支持通过蓝牙连接蓝牙打印机、蓝牙电子秤和扫码枪使用。
156,function,P1,商米P1使用哪种规格的热敏纸规格,P1使用57mm*40mm的热敏纸。
157,function,P1,商米P1其他设备是否可以把P1当蓝牙打印机来使用,不可以。P1的蓝牙打印是通过商米的底层封装虚拟的连接完成的，只支持设备自己使用。
158,function,P1,商米P1如何在APP中通过蓝牙连接商米P1的打印机,"1.在桌面上找到""设置""->""蓝牙""->开启蓝牙开关。
2.回到桌面，打开您需要使用APP，找到打印设置，点击连接或添加打印机，选择“innerPrinter”连接成功后，再打印即可。"
159,function,P1,商米P1调整打印清晰度,您可以点击设置->打印设置，将“打印浓度”数值调高。
160,function,P1,商米P1设备是否支持打印热敏标签不干胶标签,不支持打印不干胶标签。时间长的话墨淡了就看不清了；而且打印刚好到间隙时会报打印机缺纸，打印途中如果遇到间隙排版会乱掉，还有打印的标签清晰度不能完全保证。建议购买专用的标签打印机外接使用，可选择支持安卓系统，支持通过蓝牙连接的型号。
161,function,P1,商米P1硬件管家可以检查哪些项目,"硬件管家支持检测以下项目：
1、硬件管家->系统信息：可查看设备的详细信息及参数；
2、硬件管家->网络状况：可查看/测试本机网络情况、测试信号强度和网络稳定性；
3、硬件管家->存储设置：可查看设备的存储情况明细；
4、硬件管家->立即体检：可诊断设备的GPS/WIFI/摄像头/喇叭/蓝牙/麦克风的状态；
5、硬件管家->立即体检->辅助检测->打印机：可测试设备的打印及打印头老化测试；
6、硬件管家->立即体检->辅助检测->扫描头：检测设备的扫描头状况；
7、硬件管家->立即体检->辅助检测->显示屏：可设置屏幕亮度并测试显示屏颜色是否正确；
8、硬件管家->立即体检->辅助检测->触屏：可测试设备触屏灵敏度是否无误。"
162,malfunction,P1,商米P1开不了机如设备电量过低如何处理,"1.若电池电量完全耗尽，请连接标配的电源适配器，充电30分钟以后查看屏幕是否正常显示充电状态。
2. 换可以正常使用的电池到设备上，电池交叉更换后充电；两台设备都能开机的话就是电池过放，如果正常设备不能开机那么就是电池有问题；"
163,malfunction,P1,商米P1电池充电不通电,"请尝试以下方法：
1.连接标配的电源适配器，若电池电量完全耗尽，至少充电30分钟以后查看是否恢复正常。
2.如果在同时运行多个应用和上网的同时为电池充电，机器可能会发热。这是正常现象。在温度过高时电池可能会因避免过热而停止充电。关机闲置5分钟后查看是否恢复正常。
3. 重新插拔充电器，或者有条件可更换电源适配器交叉测试。"
164,malfunction,P1,商米P1充电就发烫然后自动关机怎么处理,"请尝试以下方法：
如果在充电的同时，系统后台还有多个应用在运行会加剧温度上升，请停止充电，先关机，稍等5分钟后开机，再充电试试。"
165,malfunction,P1,商米P1死机怎么办,P1死机无法操作时可以持续按住电源键11秒，机具将自动重启。
166,malfunction,P1,商米P1APP使用时没有声音提示,"1. 测试其他APP是否有声音提示，如果只是某个APP没有提示音，其他APP可正常使用，请尝试卸载该APP重新安装。
2. 连续按下多次机具侧面的音量加键调高音量，并将音量模式选择为“全部”。如果音量仍然没有提高尝试重启机具观察是否恢复正常。
3. 不要屏蔽App通知：点击设置->提示音和通知->通知->应用通知->相应APP->屏蔽，看看是不是开启了屏蔽功能，如果开启，关闭即可。"
167,malfunction,P1,商米P1无法识别SIM卡如何处理,"请尝试以下方法：
1. 设备支持中国联通3G和中国移动2G网络的SIM卡，使用标准大小的 SIM 卡(未经裁剪普通的卡型)。
2.参考右图，将SIM 卡截角处朝上放入SIM卡槽，最终SIM 卡截角外露在卡槽外。
3.在关机状态下，插入相应的SIM卡，再开机。"
168,malfunction,P1,商米P1插入流量卡无法联网怎么处理,"1. 请确认使用兼容的SIM卡(P1支持中国联通3G以及中国移动2G)，并确认SIM卡能被正常识别（有网络信号），没有存在欠费的问题。
2. 在开机状态，从屏幕顶部下滑，在快捷开关中点选(运营商名称)将""移动数据网络""开关开启。
3. 如果不能识别SIM卡，请关机，检查SIM放置的方向正确，可以重新插拔一下SIM卡，或者更换其他SIM卡试试。
4.  如果能识别SIM卡，有信号接收但是不能联网，请开机后进入 设置-更多-移动网络-接入点名称(APN)，如果此处未识别到存取点，将无法正常连接网络。
请点击右上角(+)号根据流量卡提供商提供的数据设置分别输入APN名称、接入点名称、MCC、MNC等选项，保存后返回桌面，再试试。（一般联通卡的接入点名称是3gnet，移动卡的接入点名称是cmnet；其他定制卡可根据服务商要求填写）"
169,malfunction,P1,商米P1连接WLAN时提示网络连接失败WiFi上网慢上网不稳定上网断,"1. 尝试切换其他无线网络或移动网络测试，检查是否网络异常。
2. 点击 设置-硬件管家-测试网络的信号强度及网络稳定性。
3. 如果连接其他网络可以连接但是不能上网，可以尝试以下步骤：
 1) 重新启动机具，再试试是否恢复正常。
 2) 点击在设置->备份和重置，选择“重置网络设置”再测试。"
170,malfunction,P1,商米P1APP使用时显示网络连接失败,"点击 硬件管家->测试网络的信号强度及网络稳定性。
如果其他应用能够联网，那么属于该应用的问题，可以尝试联系该应用的软件商反馈；
如果硬件管家的测试网络存在连接不稳定或信号弱，重新启动机具试试是否恢复正常。如果问题仍然存在，请检查路由器或者联系当地运营商核实网络状况。"
171,malfunction,P1,商米P1业务APP不能打印怎么办,"请尝试以下方法：
打开硬件管家->立即体检->辅助检测->打印机->测试打印效果，看下是否能打印。
1.如果硬件管家测试打印功能正常，代表打印机没故障，应该属于应用的打印设置未设置好打印机，或者应用不支持打印。
 如果业务APP通过蓝牙调用打印机，可参考以下步骤设置：
 1)在桌面上找到""设置""->""蓝牙""->开启蓝牙开关。
 2)回到桌面，打开需要打印票据的业务APP，找到打印设置，点击连接或添加打印机，选择“innerPrinter”，并确认该设备已连接“innerPrinter”，完成。
2.如果仍然未能打印，可尝试在设置->应用程序管理->选择该应用""清除数据”，重新启动再试。"
172,malfunction,P1,商米P1打印内容空白怎么处理,请检查纸卷方向是否放反，热敏打印纸区分正反面的，若装反了会没有字显示的。
173,malfunction,P1,商米P1打印不走纸或打印很慢怎么处理,"请尝试以下方法：
1.检查打印舱盖是否完全关闭；
2.检查打印纸卷是否松散或纸卷太大，将打印纸正确放入纸仓，并拉出部分纸至切刀外，盖好纸仓盖，再试；
3.检查打印压纸滚轴是否有损坏；小心取出再压紧。
4长按电源键选择关机，然后再长按电源键开机。
5.如以上方法无法解决问题，请联系售后维修处理。"
174,malfunction,P1,商米P1打印变淡打印模糊打印字体整体不清晰,"请尝试以下方法：
首先打印测试页查看打印出来的内容是否清楚： 点击 硬件管家->立即体检->辅助检测->打印机->测试。
 结果分两种情况：
 打印出来是左右均匀，内容不清晰：
 1)升级系统到最新的版本。
 2)打印出来的字迹模糊，可能是热敏头污损了，用棉签沾酒精擦拭一下，看能不能改善。
 3)进入 设置 -> 打印设置 -> 打印浓度 将数值调高一点可以改善打印清晰度。
 4)检查打印纸是否受热受潮，更换一卷新的品质好的小票纸，看是否解决问题。
 打印左右不均匀，一边清晰，一边模糊：
 1)掀开打印盖板，检查打印压纸滚轴是否有杂物覆盖或者有损坏。小心取出清理后再压紧。如果仍然压不紧，需要购买滚轴零配件更换。
 2)打印出来的字迹模糊，可能是打印加热片有污渍杂质覆盖，用挤干的酒精棉轻轻清除加热片表面覆盖污渍，再观察是否有改善。
 3)尝试按压数次打印陶瓷片的位置(背面有三个弹簧），再打印试试。
 4) 如果问题仍然存在，请联系售后维修处理。"
175,malfunction,P1,商米P1开机发出滴滴滴报警音显示POS机受到攻击请联系经销商怎么解除,"金融设备P1在使用场景上主要是满足金融交易的可靠性，保证资金信息在传输过程中的安全性，所以要比非金融类设备增加了防拆机制和各种自毁机制，在防拆、防刺探、防测露、防攻击方面要优于非金融设备。
当安全芯片检测到有非正常操作、拆机、摔打受损等情况会发出报警音或者屏幕右上角指示灯常亮红色或者黄色，P1发生金融攻击安全报警，则必须关机联系经销商，返回售后解除。"
176,malfunction,P1,商米P1使用收银类APP的时候选扫码支付出现卡死状态如何处理,"可能原因：机器在第一次打开应用使用扫码功能的时候会提示是否开通摄像头使用权限，点击拒绝后将不再提示，后续使用将应用出现卡死的问题。
解决方法：打开 设置->安全->应用权限->应用->找到该应用点开->使用摄像头->总是允许。"
177,malfunction,P1,商米P1NFC刷卡无反应,先观察NFC天线连接是否有明显断开，明显断开的需要售后更换；无明细断开的需要寄回售后查看问题；
178,malfunction,P1,商米P14G切换渠道后新的自定义桌面不生效的问题,P1-4G升级到1.2.5版本后就可以解决此问题，其他设备涉及到此问题的打开设置-应用-显示系统进程-SunmiBaseService，确认下版本是不是高于2.2.3；
